recall_id,clause_id,clause_text
5bf1c9d332cb3b0001f6f1c3,15,So we took a flight to the canal
5bf1c9d332cb3b0001f6f1c3,16,where we then had to use canoes to get to the bottom of the mountain
5bf1c9d332cb3b0001f6f1c3,17,which seemed to take forever.
5bf1c9d332cb3b0001f6f1c3,18,Once we got to the mountain
5bf1c9d332cb3b0001f6f1c3,19,we then had to walk what felt like 5 days to get to the cabin.
5bf1c9d332cb3b0001f6f1c3,20,Once we got to the cabin
5bf1c9d332cb3b0001f6f1c3,21,we realised how scary the place was
5bf1c9d332cb3b0001f6f1c3,22,so we decided to stay inside and not go out
5bf1c9d332cb3b0001f6f1c3,23,so we stayed in the cabin playing cards.
5bf1c9d332cb3b0001f6f1c3,24,Towards the end of the break
5bf1c9d332cb3b0001f6f1c3,25,we realised if we didn¡¯t take a bear home with us
5bf1c9d332cb3b0001f6f1c3,26,we would be talked about unkindly
5bf1c9d332cb3b0001f6f1c3,27,so we decided that we would cut cards
5bf1c9d332cb3b0001f6f1c3,28,and whoever got the highest would be the one to go get a bear
5bf1c9d332cb3b0001f6f1c3,29,and the remaining 3 would be the ones to skin the bear ready to take home.
5bf1c9d332cb3b0001f6f1c3,30,Unluckily it was me who got the highest card
5bf1c9d332cb3b0001f6f1c3,31,so I went out in the scary woods looking for a bear.
5bf1c9d332cb3b0001f6f1c3,32,I finally found the biggest bear I had ever seen ( even in a photo!)
5bf1c9d332cb3b0001f6f1c3,33,I shot the gun but it didn¡¯t go off as it hadn¡¯t been loaded.
5bf1c9d332cb3b0001f6f1c3,34,So I ran and ran back towards the cabin.
5bf1c9d332cb3b0001f6f1c3,35,When the cabin was in sight
5bf1c9d332cb3b0001f6f1c3,36,I shouted ¡°open the door¡±
5bf1c9d332cb3b0001f6f1c3,37,when the door opened
5bf1c9d332cb3b0001f6f1c3,38,I moved to the left
5bf1c9d332cb3b0001f6f1c3,39,and the bear ran in!
5bf1c9d332cb3b0001f6f1c3,40,I told the rest id done my bit!
5bf1c9d332cb3b0001f6f1c3,41,Looking back now
5bf1c9d332cb3b0001f6f1c3,42,the group all agree that I did infact do my bit!
5cfc19ae3ce1c80001ddd88d,1,a guy went to college in 1949
5cfc19ae3ce1c80001ddd88d,2,and made some friends
6149d516a3c16102a1a816bb,1,A boy lived on a farm
6149d516a3c16102a1a816bb,2,and in high school was an athlete.
6149d516a3c16102a1a816bb,3,When he went to college
6149d516a3c16102a1a816bb,4,he made friends with 3 other city boys
6149d516a3c16102a1a816bb,5,who were also athlete
6149d516a3c16102a1a816bb,6,he knew before.
6149d516a3c16102a1a816bb,7,They came to his farm
6149d516a3c16102a1a816bb,8,to help with chores
6149d516a3c16102a1a816bb,9,and hunt.
6149d516a3c16102a1a816bb,10,One day they decided they would go to canada
6149d516a3c16102a1a816bb,11,to hunt a bear.
6149d516a3c16102a1a816bb,12,They flew to canada
6149d516a3c16102a1a816bb,13,and canoed all the way north
6149d516a3c16102a1a816bb,14,and walked a long way
6149d516a3c16102a1a816bb,15,to an old creepy cabin.
6149d516a3c16102a1a816bb,16,When they got there
6149d516a3c16102a1a816bb,17,they unpacked their food
6149d516a3c16102a1a816bb,18,and all decided they didn't want to hunt a bear.
6149d516a3c16102a1a816bb,19,After a few days
6149d516a3c16102a1a816bb,20,they thought they had to go out
6149d516a3c16102a1a816bb,21,and get a bear to bring back home.
6149d516a3c16102a1a816bb,22,They cut cards
6149d516a3c16102a1a816bb,23,and the person with the highest card had to go out
6149d516a3c16102a1a816bb,24,and hunt.
6149d516a3c16102a1a816bb,25,The main story teller cut the highest card
6149d516a3c16102a1a816bb,26,and went out to find a bear.
6149d516a3c16102a1a816bb,27,He found an old big bear
6149d516a3c16102a1a816bb,28,and when he went to shot
6149d516a3c16102a1a816bb,29,he found out the gun was not loaded.
6149d516a3c16102a1a816bb,30,He ran back to the cabin
6149d516a3c16102a1a816bb,31,being chased by the bear
6149d516a3c16102a1a816bb,32,and managed to get inside
6149d516a3c16102a1a816bb,33,and close the door on the bear.
6149d516a3c16102a1a816bb,34,He has never been asked to return hunting with that group.
5de83e5748241d7af1b6c348,1,The main character of the story had a group of friends
5de83e5748241d7af1b6c348,2,whom he knew from he was very young.
5de83e5748241d7af1b6c348,3,They went to the same school
5de83e5748241d7af1b6c348,4,and same college
5de83e5748241d7af1b6c348,5,"and he's from a farm,"
5de83e5748241d7af1b6c348,6,where they were from the city.
5de83e5748241d7af1b6c348,7,The city boys loved visiting the farm
5de83e5748241d7af1b6c348,8,and him to go hunt and play there
5de83e5748241d7af1b6c348,9,The farm boy wasn't that keen on hunting at all
5de83e5748241d7af1b6c348,10,as he's from the farm
5de83e5748241d7af1b6c348,11,and he's good at outdoors.
5de83e5748241d7af1b6c348,12,"One day, they went to the North Woods in Canada to hunt bear."
5de83e5748241d7af1b6c348,13,No one wanted to hunt bear
5de83e5748241d7af1b6c348,14,when they've reached the cabin in the woods in a very remote territory
5de83e5748241d7af1b6c348,15,They decided to pick the high card
5de83e5748241d7af1b6c348,16,and whoever got the high card will have to go bear hunting.
5de83e5748241d7af1b6c348,17,The main character was the unfortunate one.
5de83e5748241d7af1b6c348,18,He went to try to hunt the bear
5de83e5748241d7af1b6c348,19,but the gun wasn't loaded.
60c729ef719e831b68527d87,1,The story is about a guy and his three friends who met in college and later became friends.
60c729ef719e831b68527d87,2,"Although they met in college, they previously knew each other though from high school days."
60c729ef719e831b68527d87,3,"So, when they met in college, that is when they became close."
60c729ef719e831b68527d87,4,"This particular guy grew up on a farm, however, his three friends grew up in the city."
60c729ef719e831b68527d87,5,"So, at times, his friends would go to the farm to be with him where they would go rabbit hunting."
60c729ef719e831b68527d87,6,"Hunting brought a lot of joy to his friends since they were city guys, but to him, there was nothing extraordinary about it since he'd grown up on a farm."
60c729ef719e831b68527d87,7,"So, they continued to do this for several years until one of his friends suggested that they go bear hunting."
60c729ef719e831b68527d87,8,"Although he wasn't too hyped up about this idea, he decided to go along."
60c729ef719e831b68527d87,9,"So, they flew to Canada, ended up on some lake, then hiked into the mountains until they reached the cabin where they would be staying."
60c729ef719e831b68527d87,10,"While there though, since it was quite spooky in the woods, his friends chickened out of bear hunting."
60c729ef719e831b68527d87,11,"So, they stayed in the cabin for a couple of days playing cards, eating and sleeping, but still just not being in the mood to go hunting for bears out of fear."
60c729ef719e831b68527d87,12,"However, one of the friends then said that there was no way that they could return back home without a bear otherwise they would be ridiculed."
60c729ef719e831b68527d87,13,"So, they decided that one of them would go hunt for the bear and the others would skin the bear and cut it into pieces."
60c729ef719e831b68527d87,14,"However, although the story-teller was still not super-stoked about this idea, sadly the bet fell on him to go out in the woods to hunt for the bear."
60c729ef719e831b68527d87,15,"So, he did and while in the woods, he encountered the biggest and oldest bear that he had ever seen."
60c729ef719e831b68527d87,16,"Sadly, he realised at he was about to shoot the bear that he had forgotten to load the rifle."
60c729ef719e831b68527d87,17,So he ran for his life back to the cabin screaming for his friends to open the door with the bear hot on his heels.
60c729ef719e831b68527d87,18,"As the door opened, he took a sharp left turn and the bear ran straight into the cabin."
60c729ef719e831b68527d87,19,Upon which he declared to his friends that he had done his part and brought the bear for them to skin...which they could not deny.
60c729ef719e831b68527d87,20,"The story concludes by saying that although this happened thirty years ago, none of his friends have ever suggested going bear-hunting again."
5def503a8ccc565e6e7dfeb6,1,"4 people became friends in 1949,"
5def503a8ccc565e6e7dfeb6,2,they had met before whilst in different schools as athletes.
5def503a8ccc565e6e7dfeb6,3,They became friends when they started going to the same school.
5def503a8ccc565e6e7dfeb6,4,The narrator friend grew up in a farm and the other 3 grew up in the city.
5def503a8ccc565e6e7dfeb6,5,The city friends were go to the farm and help out at times with the chores
5def503a8ccc565e6e7dfeb6,6,and they'd all go rabbit and squirrel hunting.
5def503a8ccc565e6e7dfeb6,7,"One friend suggested bear hunting,"
5def503a8ccc565e6e7dfeb6,8,which the narrator friend was not interested in.
5def503a8ccc565e6e7dfeb6,9,"However, not wanting to be the only one out, he agreed."
5def503a8ccc565e6e7dfeb6,10,"They went to the spot where they played cards, ate and slept."
5def503a8ccc565e6e7dfeb6,11,"They questioned bear hunting,"
5def503a8ccc565e6e7dfeb6,12,but one friend pointed out that they needed proof to show people back home.
5def503a8ccc565e6e7dfeb6,13,"After what seems to be peer pressure, the group agreed on a game where the loser would go and hunt the bear and bring it back."
5def503a8ccc565e6e7dfeb6,14,"Once back, the remaining friends would skin it and pack the bear to take home."
5def503a8ccc565e6e7dfeb6,15,"The narrator friend lost the game and went out,"
5def503a8ccc565e6e7dfeb6,16,he saw the bear and realised that the gun he had taken to shoot the bear wasn't loaded.
5def503a8ccc565e6e7dfeb6,17,"He realised this, when he pointed the gun and tried to shoot."
5def503a8ccc565e6e7dfeb6,18,He ran back to the cabin with the bear closing in.
5def503a8ccc565e6e7dfeb6,19,"Once he reached the cabin, he began screaming for the friends to open the door,"
5def503a8ccc565e6e7dfeb6,20,he went in and turned left and the bear followed.
5def503a8ccc565e6e7dfeb6,21,"He told his friends that his task was complete,"
5def503a8ccc565e6e7dfeb6,22,he had brought the bear to them as agreed and now they had to skin and pack it.
5def503a8ccc565e6e7dfeb6,23,He was never asked to bear hunt again.
63d79c0ca00135fc540fd236,1,He met his friends
63d79c0ca00135fc540fd236,2,"when they were in school,"
63d79c0ca00135fc540fd236,3,as they all played on the same athletics team.
63d79c0ca00135fc540fd236,4,They ended up going to college together
63d79c0ca00135fc540fd236,5,and became good friends.
63d79c0ca00135fc540fd236,6,One of them lived on a farm
63d79c0ca00135fc540fd236,7,"and the other three lived in the city,"
63d79c0ca00135fc540fd236,8,the city livers liked to visit the farm
63d79c0ca00135fc540fd236,9,"and go hunting,"
63d79c0ca00135fc540fd236,10,but the one who lived on the farm didn't like this.
656013477ede6fae3cc2728b,1,"A little before 1949, this man had three buddies he got close to in college."
656013477ede6fae3cc2728b,2,"Before, he was acquainted with them because they all went to separate high schools but were all athletes who saw each other in passing."
656013477ede6fae3cc2728b,3,"Anyway, they got close in college and the man lived on the farm and the other three lived in the city."
656013477ede6fae3cc2728b,4,"Because of this, the three would love to come to the farm and help the man do chores or do ""macho"" stuff like hunting."
656013477ede6fae3cc2728b,5,"They liked hunting squirrels and small things, but the man wasn't as interested because this was his regular life and it wasn't exciting."
656013477ede6fae3cc2728b,6,He went along with it because he wanted to be part of the group though.
656013477ede6fae3cc2728b,7,"Later on, maybe a couple of years, the three friends wanted to go on a hunting trip to hunt bear, and although the man wasn't that interested now either, he agreed to go for the same reason as before."
656013477ede6fae3cc2728b,8,"So, they all went to the northern woods where one of the friends rented a cabin."
656013477ede6fae3cc2728b,9,"On the journey, they encounter scary bears and the woods itself was scary, had to paddle for forever in kayaks, and when they got the cabin eventually they all decided to stay inside because they were spooked."
656013477ede6fae3cc2728b,10,"Inside they played card games and stuff, and near the end of the 3-4 day trip, they decided that because they told everyone back at home they'd catch a bear, then they needed to bring a bear back."
656013477ede6fae3cc2728b,11,They played a game to decide who would go out and shoot the bear and bring it back for the others to skin and pack.
656013477ede6fae3cc2728b,12,"Funnily, the farmer man who didn't even want to go in the first place got the short end of the stick."
656013477ede6fae3cc2728b,13,"He got a gun and went out though, as a man of his word."
656013477ede6fae3cc2728b,14,"He happened to come across a bear, but it was a HUGE bear."
656013477ede6fae3cc2728b,15,Bigger than anything the man's seen or heard of.
656013477ede6fae3cc2728b,16,"He tried to shoot it, but he realized he didn't load the gun."
656013477ede6fae3cc2728b,17,"So, the only thing he could do was run because now he's angered the bear."
656013477ede6fae3cc2728b,18,He ran with the bear hot on his heels and went back to the cabin screaming for his three friends to open the door.
656013477ede6fae3cc2728b,19,"They opened the door, he went inside, but the bear ended up following him in too."
656013477ede6fae3cc2728b,20,"The man told his friends 'alright, I brought the bear to you guys to skin and pack'."
656013477ede6fae3cc2728b,21,"It was a funny story and years later, his friends never invited him out to hunt again but knew he was a man of his word."
62ea84d41e834ec50d48fe99,1,The story is about four friends who went to the same college in 1949.
62ea84d41e834ec50d48fe99,2,They went to different high schools but had activities that made them acquainted.
62ea84d41e834ec50d48fe99,3,"The storyteller lived on the farm, while his three buddies lived in the city and they loved hunting and helping him with farm chores."
62ea84d41e834ec50d48fe99,4,"He wasn't a fan of hunting like the other guys were but always tagged along, from rabbit to squirrel hunting."
62ea84d41e834ec50d48fe99,5,"About thirty years ago, they decided to go bear hunting up in north woods in Canada."
62ea84d41e834ec50d48fe99,6,He was not happy to go with it but decided to.
62ea84d41e834ec50d48fe99,7,They were in a cabin for 3/4 days without wanting to go bear hunting because the area was so spooky.
62ea84d41e834ec50d48fe99,8,"Eventually, one of them psyched the boys to go bear hunting because everyone knew they had travelled to hunt for bears and it would be a bummer if they returned empty-handed."
62ea84d41e834ec50d48fe99,9,"So they drew cards to decide who would go, and it fell on the storyteller, who never wanted to be there in the first place."
62ea84d41e834ec50d48fe99,10,His role was to hunt for the bear while the others skinned and prepared the bear to be taken home.
62ea84d41e834ec50d48fe99,11,"As he went into the woods, he saw a big bear bigger than he had seen in pictures and tried to shoot at it."
62ea84d41e834ec50d48fe99,12,"Unfortunately, his gun was not loaded so nothing happened and immediately he ran towards the cabin, trying to get away from the bear."
62ea84d41e834ec50d48fe99,13,"The bear was very fast, and right behind his heel, even though he considered himself a fast runner."
62ea84d41e834ec50d48fe99,14,"As he approached the cabin, he shouted at his friends to open the cabin door and let him in, and just as he drew near the door, he swiftly turned left, letting the bear into the cabin."
62ea84d41e834ec50d48fe99,15,"He screamed, that he had fulfilled his role and it was left for his friends to skin and prep the bear."
666861d3a592871c05b6fa7f,1,Someone lived on a farm
666861d3a592871c05b6fa7f,2,and went hunting there
666861d3a592871c05b6fa7f,3,with their three friends
666861d3a592871c05b6fa7f,4,who they met during school.
666861d3a592871c05b6fa7f,5,"Their friends convinced them to go on a hunting trip,"
666861d3a592871c05b6fa7f,6,"even though they did not want to,"
666861d3a592871c05b6fa7f,7,"and they ended up getting attacked,"
666861d3a592871c05b6fa7f,8,but coming out of it alive.
60ab9e649e9587f020d43ede,1,4 friends who met in school decided to go bear hunting.
60ab9e649e9587f020d43ede,2,3 of the friends were into hunting
60ab9e649e9587f020d43ede,3,but the other friend who worked on a farm was not so keen on the idea
60ab9e649e9587f020d43ede,4,but the other friends encouraged him to come
60ab9e649e9587f020d43ede,5,and he eventually gave in.
60ab9e649e9587f020d43ede,6,When they got to the destination of the cabin they would be staying for the next 4 nights
60ab9e649e9587f020d43ede,7,they realised how spooky the woods were
60ab9e649e9587f020d43ede,8,and all decided they was no longer keen on the idea of bear hunting
60ab9e649e9587f020d43ede,9,so for three days then stayed in the cabin playing card games.
60ab9e649e9587f020d43ede,10,Then on the last day they decided they would need to go bear hunting
60ab9e649e9587f020d43ede,11,as they had told so many people
60ab9e649e9587f020d43ede,12,and if they came back empty handed they wouldn't hear the end of it.
60ab9e649e9587f020d43ede,13,They decided to cut the pack of cards
60ab9e649e9587f020d43ede,14,and whoever got the highest number would go a bring a bear back from them to skin and show the people back at home.
60ab9e649e9587f020d43ede,15,The friend who didn't want to go in the first place picked the highest card
60ab9e649e9587f020d43ede,16,and went out looking for the bear with the gun.
60ab9e649e9587f020d43ede,17,He was walking round and couldn't find anything
60ab9e649e9587f020d43ede,18,but then he heard a noise
60ab9e649e9587f020d43ede,19,and turned round and saw a big old bear the biggest he had ever seen.
60ab9e649e9587f020d43ede,20,The friend tried to shot the bear
60ab9e649e9587f020d43ede,21,but he realised he hadn't loaded the gun
60ab9e649e9587f020d43ede,22,so he ran back to the cabin as fast as he could
60ab9e649e9587f020d43ede,23,and the bear followed him.
60ab9e649e9587f020d43ede,24,When he got closer to the cabin he yelled for his friends to open up
60ab9e649e9587f020d43ede,25,and they did
60ab9e649e9587f020d43ede,26,and he ran in just as the bear ran in
60ab9e649e9587f020d43ede,27,and he told the friends that he had brought the bear
60ab9e649e9587f020d43ede,28,and that they could skin him.
60ab9e649e9587f020d43ede,29,He never got invited hunting with them again.
666aee2c8bf4c2b358481ce9,1,"1929, 4 students, athletic students all decide to go to a cabin in the woods to hunt some bears."
666aee2c8bf4c2b358481ce9,2,I'm not very keen but I go anyway.
666aee2c8bf4c2b358481ce9,3,When they get there the cabin is spooky so none of them want to hunt bears.
666aee2c8bf4c2b358481ce9,4,"In the end they decide that they have to bring a bear home as everyone at home is expecting a bear,"
666aee2c8bf4c2b358481ce9,5,so they all draw cards to find out who should do it.
666aee2c8bf4c2b358481ce9,6,"It ended up being me, who didnt even want to be there."
666aee2c8bf4c2b358481ce9,7,So off I went to hunt a bear -
666aee2c8bf4c2b358481ce9,8,the agreement was that I would hunt the bear and the others would skin and prepare the meat.
666aee2c8bf4c2b358481ce9,9,"I went out to find a bear but couldnt find any for a very long time,"
666aee2c8bf4c2b358481ce9,10,"then suddenly, there was one GIANT bear right behind me."
666aee2c8bf4c2b358481ce9,11,I lifted the shotgun and tried to fire it at the bear but I had forgotten to load it.
666aee2c8bf4c2b358481ce9,12,So I turned around and ran back to the cabin as fast as I could with the bear following close behind me.
666aee2c8bf4c2b358481ce9,13,"When I got to the cabin I yelled OPEN THE DOOR,"
666aee2c8bf4c2b358481ce9,14,"which they did,"
666aee2c8bf4c2b358481ce9,15,but then the bear ran past me and into the cabin.
666aee2c8bf4c2b358481ce9,16,"I took the opportunity to shut the door, trapping the bear inside,"
666aee2c8bf4c2b358481ce9,17,"and then I yelled: NOW GET TO SKINNING, I'M OFF TO GET ANOTHER ONE."
666aee2c8bf4c2b358481ce9,18,My friends all agreed that I had held up my end of the bargain.
5a63713163394a00015555aa,1,In 1949
5a63713163394a00015555aa,2,I was at high school
5a63713163394a00015555aa,3,and I met some friends.
5a63713163394a00015555aa,4,Then we went hunting
5a63713163394a00015555aa,5,for some bears
5a63713163394a00015555aa,6,in the woods.
5a63713163394a00015555aa,7,It is who you know
5a63713163394a00015555aa,8,and not what you know.
5a63713163394a00015555aa,9,The big bears came
5a63713163394a00015555aa,10,and they did scare me
5a63713163394a00015555aa,11,a little bit.
615033332cea99204ba90a95,1,There were 4 friends from college
615033332cea99204ba90a95,2,who knew each other from school sports
615033332cea99204ba90a95,3,but played in different schools.
615033332cea99204ba90a95,4,One of them lived on a farm
615033332cea99204ba90a95,5,and the other guys would come to the farm
615033332cea99204ba90a95,6,to do chores
615033332cea99204ba90a95,7,and go hunting.
615033332cea99204ba90a95,8,They would hunt for squirrels
615033332cea99204ba90a95,9,before one of them decided they wanted to go hunting for a bear.
615033332cea99204ba90a95,10,I didn't want to go
615033332cea99204ba90a95,11,but they talked me into taking a plane to Canada.
615033332cea99204ba90a95,12,We then canoeed for 1 and a half days to a cabin.
615033332cea99204ba90a95,13,We then got scared
615033332cea99204ba90a95,14,and didn't want to go bear hunting anymore
615033332cea99204ba90a95,15,but we were scared that people would talk bad about us
615033332cea99204ba90a95,16,if we didn't bring a bear back.
615033332cea99204ba90a95,17,We split a deck of cards
615033332cea99204ba90a95,18,to see who was going to go get a bear
615033332cea99204ba90a95,19,and then the others would skin it
615033332cea99204ba90a95,20,and cut it down.
615033332cea99204ba90a95,21,I drew the highest card
615033332cea99204ba90a95,22,and went out looking for a bear.
615033332cea99204ba90a95,23,I found the biggest bear I ever had seen
615033332cea99204ba90a95,24,and it started chasing me.
615033332cea99204ba90a95,25,It chased me all the way to the cabin
615033332cea99204ba90a95,26,and I started shouting to open the cabin door.
615033332cea99204ba90a95,27,When I reached the cabin
615033332cea99204ba90a95,28,I went left
615033332cea99204ba90a95,29,and the bear ran straight in.
615033332cea99204ba90a95,30,I slammed the door shut
615033332cea99204ba90a95,31,and shouted for them to skin the bear.
615033332cea99204ba90a95,32,Everyone agreed I had held my end of the deal
615033332cea99204ba90a95,33,but I never got invited on another hunting trip.
640612477c8f387ffe0b0dba,1,Four friends decided to go bear hunting
640612477c8f387ffe0b0dba,2,as they were quite outdoorsy
640612477c8f387ffe0b0dba,3,- except the guy who grew up on the farm.
640612477c8f387ffe0b0dba,4,He was hesitant
640612477c8f387ffe0b0dba,5,but got talked into going bear hunting up north in Canada.
640612477c8f387ffe0b0dba,6,"They took a flight,"
640612477c8f387ffe0b0dba,7,canoed
640612477c8f387ffe0b0dba,8,and hiked to get to the cabin they had rented.
640612477c8f387ffe0b0dba,9,Whole area was spooky
640612477c8f387ffe0b0dba,10,and none of them was as eager to go bear hunting as they had been before the trip.
640612477c8f387ffe0b0dba,11,"They stayed in the cabin for four days,"
640612477c8f387ffe0b0dba,12,playing cards
640612477c8f387ffe0b0dba,13,and rarely leaving the cabin.
640612477c8f387ffe0b0dba,14,"However, they thought other people, who they had told what they were about to do, would give them a hard time if they don't return with 'a catch'."
640612477c8f387ffe0b0dba,15,They drew cards
640612477c8f387ffe0b0dba,16,and farm guy got the highest card
640612477c8f387ffe0b0dba,17,- he had to go out and bring the bear back.
640612477c8f387ffe0b0dba,18,He forgot to load the gun
640612477c8f387ffe0b0dba,19,and bear charged towards him
640612477c8f387ffe0b0dba,20,but he made a lucky escape back to the cabin.
6662cbaedf0c993cd37ffb83,1,A guy is retelling a story of him and three friends back in 1949.
6662cbaedf0c993cd37ffb83,2,"They had all met before this,"
6662cbaedf0c993cd37ffb83,3,they were athletes that became acquainted.
6662cbaedf0c993cd37ffb83,4,After they graduated they ended up at the same school
6662cbaedf0c993cd37ffb83,5,and became good friends.
6662cbaedf0c993cd37ffb83,6,"The protagonist lived on a farm,"
6662cbaedf0c993cd37ffb83,7,and the friends used to come up to the farm to hunt.
6662cbaedf0c993cd37ffb83,8,"The protagonist didn't like hunting much,"
6662cbaedf0c993cd37ffb83,9,"but the other three did,"
6662cbaedf0c993cd37ffb83,10,so he indulged them.
6662cbaedf0c993cd37ffb83,11,"One day, the three friends said they would like to go hunting bears in Canada."
6662cbaedf0c993cd37ffb83,12,The protagonist couldn't think of a good excuse not to go
6662cbaedf0c993cd37ffb83,13,so they agreed.
6662cbaedf0c993cd37ffb83,14,They flew out of Fort Wayne
6662cbaedf0c993cd37ffb83,15,and landed up in Canada on the water.
6662cbaedf0c993cd37ffb83,16,"They holed up in a cabin in the north woods,"
6662cbaedf0c993cd37ffb83,17,where they discussed the idea of hunting bears.
6662cbaedf0c993cd37ffb83,18,"They all decided that it was not something they actually wanted to do any more because of fear,"
6662cbaedf0c993cd37ffb83,19,"but they were worried if they returned without a trophy bear, people would think less of them."
6662cbaedf0c993cd37ffb83,20,They decided to split a deck of cards
6662cbaedf0c993cd37ffb83,21,and whoever drew the high card would hunt the bear
6662cbaedf0c993cd37ffb83,22,and the others would butcher and skin it.
6662cbaedf0c993cd37ffb83,23,"The protagonist drew the high card,"
6662cbaedf0c993cd37ffb83,24,and ended up going out on the hunt.
6662cbaedf0c993cd37ffb83,25,"When he encountered the bear it took him by surprise,"
6662cbaedf0c993cd37ffb83,26,as it was much larger than expected.
6662cbaedf0c993cd37ffb83,27,He had not even seen a picture of a bear that size.
6662cbaedf0c993cd37ffb83,28,"He aimed the gun,"
6662cbaedf0c993cd37ffb83,29,"but it didn't fire,"
6662cbaedf0c993cd37ffb83,30,because he forgot to load it.
6662cbaedf0c993cd37ffb83,31,"At this time, he decided to make a run for it back to the cabin."
6662cbaedf0c993cd37ffb83,32,Once he got back he closed the door behind him.
6662cbaedf0c993cd37ffb83,33,"He reminisced that since this encounter, he had not been invited back on any more hunting trips."
6662cbaedf0c993cd37ffb83,34,The story was being remembered 30 years after it happened.
6688000c0fc9f75d8caefc4f,1,It is a story about three friends
6688000c0fc9f75d8caefc4f,2,that I met in 1949
6688000c0fc9f75d8caefc4f,3,when I started college.
6688000c0fc9f75d8caefc4f,4,"Actually I met them before that,"
6688000c0fc9f75d8caefc4f,5,we became friends
6688000c0fc9f75d8caefc4f,6,after we all... went to school at the same place.
6688000c0fc9f75d8caefc4f,7,Previous to that during high school
6688000c0fc9f75d8caefc4f,8,"we'd all been school athletes at different schools,"
6688000c0fc9f75d8caefc4f,9,and so we were acquainted.
6688000c0fc9f75d8caefc4f,10,But then after graduation
6688000c0fc9f75d8caefc4f,11,"after we all enrolled in school,"
6688000c0fc9f75d8caefc4f,12,"we found that the four of us were all now attending the same school,"
6688000c0fc9f75d8caefc4f,13,and became quite good friends.
6688000c0fc9f75d8caefc4f,14,"I was the kid from the farm,"
6688000c0fc9f75d8caefc4f,15,the other three guys all lived in the city.
6688000c0fc9f75d8caefc4f,16,"So being big macho men that we all were,"
6688000c0fc9f75d8caefc4f,17,"they used to come out to the farm and hunt,"
6688000c0fc9f75d8caefc4f,18,"and they'd come out,"
6688000c0fc9f75d8caefc4f,19,and help me do chores and things like that.
6688000c0fc9f75d8caefc4f,20,Then we'd go rabbit hunting and squirrel hunting and things of that nature.
6688000c0fc9f75d8caefc4f,21,I never really enjoyed hunting.
6688000c0fc9f75d8caefc4f,22,Uh... being born and raised.
65391d8a5a2723f92006e284,1,Group of friends were acquaintances in high school.
65391d8a5a2723f92006e284,2,They were athletes at different high schools.
